"Data Source","World Development Indicators",

"Last Updated Date","2023-07-25",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Bangladesh","BGD","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1730.36894499325","1756.33262434421","1818.15076512284","1867.7809380996","1903.58083168198","1964.06112590842","2017.21352652899","2070.43744624471","2137.15004349644","2194.52647626906","2267.07534755879","2337.36458346569","2382.28147136915","2451.99023241347","2537.95071423142","2663.09625700318","2806.59269062211","2973.28132489974","3124.22679727975","3253.0913365599","3395.36478736678","3571.0586470603","3756.93193253282","3932.70833031603","4119.42463946452","4337.38590209077","4589.09353174608","4830.7760826813","5124.49875458782","5467.20752090206","5591.37377818814","5911.01299624227","6263.00464871693",
"Bulgaria","BGR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12507.7284145491","11565.3875443252","10840.0915744326","10765.1633918084","10998.1601603578","11362.6598197752","12015.9410500352","10382.8637603486","10848.4340354086","9993.46101871054","10503.6327620614","11124.5192583144","12036.1975863788","12767.2837364684","13701.5176620624","14779.2105643119","15904.9208093581","17078.3885435261","18250.5621531431","17767.5352996682","18160.6297698445","18661.5020771532","18911.6067207703","18911.1484206025","19202.8316894772","19988.2481842507","20740.8194312493","21469.9708893116","22206.156990417","23266.0693152803","22479.5829396574","24393.7755346385","26823.0207707774",
"Bahrain","BHR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36997.7356016117","39769.3118096101","40971.726502181","44690.4148162104","43113.4812404734","43369.1535690876","43737.1881449762","43716.0207493882","44458.4383668438","45053.7461151746","46154.0295372007","46084.9272072473","46478.2054226708","47504.5573094864","47455.239988126","46821.0246254023","46303.4870146222","46792.1742553463","46588.6421016907","44972.7455841236","45600.0662441489","46564.7108841565","47793.5309713178","48915.5299366185","49117.9884481019","48453.7258486635","48486.3027470537","48929.4470119951","48937.6603623739","49768.9762142136","47994.4142924226","49754.0477370429","51854.7163705359",
"Bahamas, The","BHS","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35674.4556311246","33516.5769719696","31558.1864194854","30975.2322150369","31316.705100849","32081.5940170967","32846.7507951695","34512.3700357549","32411.8674904082","35811.892217633","36753.6311240139","37190.7302612007","37696.1758410239","36726.0087425927","36553.5576635893","37282.2834322398","37693.9124116011","37704.4628204564","36307.736890187","34294.1914281302","34335.2719556288","34118.2944143915","34793.0375859874","33482.2851622901","33795.7531448128","33822.6781698266","33520.1213208248","34067.8461834433","34341.8024472866","33862.9446487499","25780.4141764455","30053.0323934983","34197.1297928152",
"Bosnia and Herzegovina","BIH","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1730.12267827479","2096.5653965499","3802.22964225861","4933.07066601828","5609.35025725117","6091.66178871068","6826.00446253489","6965.45042331636","7309.57422072788","7618.83633644034","8180.71602888669","8600.34718322841","9146.86750045552","9803.91321807161","10506.666814293","10363.5104144171","10636.0676800196","10933.0417306352","11046.1264763079","11483.2544117601","11766.9771819409","12437.4952562522","13000.6169222965","13582.1847524863","14267.5198117783","14851.6485875733","14587.4817369059","15893.0601020426","16703.4564245907",
"Belarus","BLR","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8895.17217109963","8784.37684028943","7923.64988227024","7305.30647292955","6458.2141734299","5805.36280925923","5988.0393518472","6698.45747837036","7293.90777988692","7575.91787332823","8053.17315694621","8477.08350501958","8961.64058417993","9660.19311130436","10839.955625183","11940.1858827391","13214.8707907172","14417.3526695337","15942.8967272285","16014.1145709464","17300.7026494572","18274.0196249251","18611.4531009969","18805.4297450457","19119.3121378627","18362.6952543104","17883.19031839","18356.0660575514","18974.7452169516","19288.0406878264","19239.5531427458","19872.6924952009","19132.2703879485",
"Belize","BLZ","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","6396.50071946363","6981.0061196236","7663.64842835439","7979.02214809667","7823.96577786825","7675.21751609267","7521.86418171508","7530.27200682617","7554.92572506596","7954.44493922975","8702.08265110585","8857.37013835297","9023.40100717108","9566.06022706895","9710.01405705731","9631.59161051857","9781.77671133139","9815.05474768846","9397.15189743875","9101.54923461174","8988.86513638692","8776.86331618966","8912.10575375588","9109.57214659117","9276.31779285874","9387.91454228407","9208.11394344737","8873.7540251936","8798.53857325264","9028.55148483032","7703.11804104352","8762.24053675135","9697.9330494303",
"Bermuda","BMU","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65961.4062780667","63958.8962542416","64385.4074102651","65967.8500138776","65904.7204209603","68313.3818545185","69643.4075205287","72403.8804374561","74677.0924239116","76772.3238467835","83181.5263421175","88231.783860841","86364.153739107","88727.3112693061","90195.8115646944","91114.0769901835","95615.3606970562","98257.9926982026","95855.800692618","89961.9827443671","88399.9159492493","85829.3782604391","80982.367755316","80503.6502910788","77361.1048812589","77842.7539032209","78149.352535184","81834.9558735543","81423.4084533215","81681.7266682559","76117.8047438727","78570.4895148396","81165.6509443183",
"Bolivia","BOL","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4437.86683057006","4575.70675070753","4556.99345438866","4657.03039924217","4779.83922848367","4909.17825869248","5028.44409808129","5181.41650362561","5343.95741229026","5270.02754322962","5305.61926053567","5300.31433934189","5337.76585299394","5387.58177415191","5515.65581948199","5660.57481952264","5829.3713331054","5989.68992705155","6248.93395762807","6349.00791388597","6499.81815758581","6724.30067260437","6952.73837566093","7305.22798770529","7581.59842759216","7825.76674838841","8034.17272467539","8244.93344575115","8466.29319952075","8528.74880360829","7679.93319449802","8052.1774414393","8201.18379886392",
"Brazil","BRA","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10401.8424448513","10328.9571222146","10103.7879427818","10431.4096597108","10867.7509166537","11151.1916421663","11224.3994564811","11432.650568882","11304.0969954989","11196.8385320758","11529.4866151644","11536.3638321407","11739.4318434051","11733.4111975412","12268.6638325485","12520.8549899009","12877.4441830466","13518.8477758477","14067.9458125763","13916.9632254972","14824.7411544273","15271.4693518003","15425.3529285957","15751.4844481235","15695.6431041785","15011.5771943529","14402.4940082453","14477.8617680601","14619.5911298271","14685.1278924674","14109.7639690445","14735.5817830152","15093.4651170661",
"Barbados","BRB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14097.395549571","13519.7214063592","12710.4193266718","12772.7871937179","12993.923523163","13225.7543853946","13726.0323199655","14353.1201186362","14864.6660584937","14884.601843092","15517.9408347638","15109.7633490269","15167.1267869806","15436.6024072213","15595.8529892111","16154.261200613","17081.6328435397","17371.072523883","17405.8935490311","16462.7067411057","16019.5074254818","15864.5723226189","15755.2669650598","15489.7611847758","15441.2197612068","15789.4512179828","16156.517559289","16198.9621604366","16003.8574255361","15954.802664829","13805.7775410846","13754.8024231781","15106.7751747395",
"Brunei Darussalam","BRN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","70358.7240942878","70439.0532043465","71781.1028963074","70154.4247266124","70570.9645144198","71966.0974087827","72320.987984446","69660.1860061146","67770.1724900991","68366.6631773269","68865.7872998496","69338.9207191783","70631.8736782129","71331.7527275359","70415.4241541023","69482.3838018272","71352.8857884172","70342.4093047527","67934.0640848731","65753.4057014535","66484.2415406151","68037.5229790103","67792.7546260517","65534.6831602734","63131.186248062","62170.0870232201","59980.9887454086","60173.0511336013","59650.2315273035","61424.3643132688","61603.5508036186","60127.0236886271","58669.9007681841",
"Bhutan","BTN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2737.99305333418","2682.30937512619","2917.57950850309","3118.96322849646","3270.7487395137","3460.46119195868","3585.36296152298","3713.29472016911","3860.34720230696","4067.46515846083","4087.83067216439","4311.4468373407","4663.12762848317","4904.51097778026","5076.31536245983","5336.77621970682","5626.05470367768","6577.43176809794","6811.9331493701","7188.85919345285","7958.22686073042","8499.35429552819","8837.57637338481","8929.04620419453","9349.04438655465","9877.2472826014","10587.5703765341","10986.8881359297","11233.7805406359","11797.2841991497","10547.0515052507","10907.8567096084","",
"Botswana","BWA","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9164.87250835745","9569.46087853426","9570.54940619973","9476.66118620233","9550.83123403918","9956.80879488882","10280.6271192975","10880.853161444","10689.2173070967","11474.0652615538","11462.0796949759","11262.8994419211","11725.5601833177","12054.8749612143","12166.4676244451","12494.2174479979","13287.2260424775","13783.3800729132","13945.5992687321","11729.5657720624","12653.37125665","13250.2517660942","12975.948482389","14144.5187891656","14665.2730208019","13682.7048320367","14373.5199366604","14656.772988721","14962.0829594944","15117.9906741015","13545.2181711509","14907.0857680386","15518.0298701635",
"Central African Republic","CAF","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1200.61339024031","1157.38166280191","1049.11941485628","1019.44100626915","1036.28390122035","1080.77006109473","1010.74388874746","1035.10745821896","1054.3129732191","1062.29825753147","1007.24783442941","1028.79140785186","1042.70864454409","962.86483675182","998.689099661647","985.324815965559","1011.77750952868","1038.75013264676","1038.33528617758","1103.4637660212","1130.89570808081","1160.41474143552","1208.51577049925","764.051500246645","765.259553983357","795.037018678033","818.395995276405","839.600009452135","854.647491304949","861.766788755873","847.765012420583","837.504685725376","819.192343077178",
"Canada","CAN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","34562.8663465938","33423.884517918","33327.9474636636","33840.8182551814","34976.5928677945","35549.0930280333","35749.0452515392","36910.477860824","38031.624764122","39671.3846482747","41338.6470179142","41623.9503409049","42416.4087525762","42793.0792526308","43704.4139089537","44680.7964889693","45396.8396580252","45889.5621291537","45851.2019282813","44004.3141019538","44862.4194958293","45823.1642403883","46126.5138859002","46704.7622355677","47564.609109622","47522.1406673151","47457.5853457244","48317.1745835151","48962.4815108923","49175.6770500696","46181.7575545756","48218.038315768","48954.8053508794",
"Central Europe and the Baltics","CEB","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13981.7537332971","12634.1172837346","12376.3169614558","12572.0351488777","13084.1165645894","13847.2051251121","14506.6919097397","14790.4722644665","15193.5976335083","15481.9078446724","16182.7153980946","16809.8977950388","17542.958260807","18305.3901654222","19458.2414351671","20482.1178609021","21888.5809193462","23375.721723449","24441.7391602771","23660.4389909625","24035.0856611703","24956.198214344","25235.6308934992","25455.1099750668","26337.1359742579","27452.0980247333","28283.3149031937","29830.0478578645","31381.754484533","32673.8240732559","31638.192871924","33916.2499174261","35580.5132883779",
"Switzerland","CHE","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","56232.0260800298","55025.0113080535","54397.8807610933","53836.8088527935","54087.5195518484","53985.6453064421","54001.0531544987","55089.3272854773","56590.1173760702","57257.3182189262","59190.4153448838","59743.8159278462","59250.164469794","58793.1482985086","59967.9130411668","61223.3932373521","63318.7948865406","65213.1805367067","66197.8674738811","63873.952372012","65262.3409776047","65710.9150670028","65783.5891077254","66196.9473125694","66930.8686271126","67261.5940093857","67907.3938773543","68193.5054944094","69629.3366101135","69923.9312089954","67765.8814290259","70097.3687528829","70999.6879113108",
"Channel Islands","CHI","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9701.82379080639","10290.0396601385","11256.2094833245","11812.6493788658","12221.5077027169","13122.9463422861","13825.1561998113","14652.7751930939","15074.5801101413","14855.3571822158","15415.7542853766","15725.6011594356","16053.6546085706","16636.6537463516","17571.024797895","18415.7549895934","19339.487624585","20140.5296504463","20695.5625606217","20255.0987836444","21225.1038566237","22323.7230847248","23467.9787261648","24011.5910135613","24197.1832800794","24464.7456624553","24599.3746330388","24546.9124208604","25071.9900691942","24809.8609735994","22970.5504351843","25412.7520725665","25886.1213557859",
"China","CHN","GDP per capita, PPP (constant 2017 international $)","NY.GDP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1423.89634790711","1534.70527155072","1731.65721549507","1949.534268233","2178.9240567606","2391.47711558936","2601.36342607386","2812.71113459466","3004.42734154703","3206.73002570818","3451.67923092858","3712.33813234069","4024.35569663549","4400.82518341212","4817.21184452758","5334.6466393818","5979.78171182527","6795.17401237991","7412.87436349204","8069.35463837756","8884.58803122605","9680.09769961662","10370.7265716791","11101.9389299934","11851.4042175796","12612.3516512418","13399.1373202744","14243.5326108491","15133.9956182327","15977.7638279876","16296.6093789678","17657.4951808666","18187.9787370537",
